epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.837,1.25526,1.53336,1.20875,0.57718,0.71775,0.6382,0.38941,1.04764,0.89705,1.03097,0.00332612,0.00332612,0.00332612
2,327.037,1.2791,1.03021,1.17151,0.67334,0.6285,0.67623,0.41089,1.12413,0.98891,1.09514,0.00664627,0.00664627,0.00664627
3,482.517,1.39798,1.19733,1.2607,0.57803,0.52145,0.45281,0.27411,1.29212,1.77267,1.2378,0.00995321,0.00995321,0.00995321
4,636.792,1.457,1.28655,1.31379,0.69056,0.45113,0.51545,0.31132,1.20017,1.31017,1.17954,0.0099406,0.0099406,0.0099406
5,791.512,1.39306,1.19384,1.29609,0.4946,0.54694,0.49117,0.30402,1.23679,1.00433,1.14894,0.0099208,0.0099208,0.0099208
6,946.025,1.35942,1.12284,1.27601,0.67387,0.56214,0.55407,0.33971,1.11635,0.98517,1.10478,0.009901,0.009901,0.009901
7,1100.42,1.32956,1.06815,1.24005,0.59802,0.59771,0.60478,0.38621,1.1122,0.81121,1.09202,0.0098812,0.0098812,0.0098812
8,1254.34,1.32035,1.03587,1.24192,0.82694,0.60955,0.67642,0.41823,1.09393,0.81218,1.06718,0.0098614,0.0098614,0.0098614
9,1408.15,1.30267,0.98434,1.23374,0.74251,0.61933,0.65416,0.40483,1.09679,0.81815,1.07895,0.0098416,0.0098416,0.0098416
10,1561.88,1.29609,0.97185,1.22736,0.74386,0.65441,0.70641,0.4502,1.05088,0.76218,1.07254,0.0098218,0.0098218,0.0098218
11,1715.41,1.25774,0.93015,1.18746,0.77449,0.61473,0.72099,0.46052,1.06028,0.74617,1.07555,0.009802,0.009802,0.009802
12,1869.38,1.2531,0.90685,1.19425,0.8204,0.6174,0.7288,0.45286,1.05697,0.7739,1.07883,0.0097822,0.0097822,0.0097822
13,2023.22,1.2406,0.87299,1.18574,0.81221,0.6629,0.72346,0.46837,1.03125,0.73824,1.05121,0.0097624,0.0097624,0.0097624
14,2177.13,1.24567,0.88675,1.19482,0.84031,0.65964,0.72301,0.45668,1.05258,0.70956,1.05531,0.0097426,0.0097426,0.0097426
15,2330.8,1.21276,0.84711,1.17511,0.82368,0.72294,0.7951,0.51469,1.04479,0.68156,1.05449,0.0097228,0.0097228,0.0097228
16,2484.76,1.22208,0.83362,1.17743,0.75926,0.75483,0.75495,0.47278,1.03195,0.67835,1.01902,0.009703,0.009703,0.009703
17,2638.39,1.18288,0.82042,1.16428,0.80491,0.71697,0.75858,0.5175,0.95018,0.6593,1.01781,0.0096832,0.0096832,0.0096832
18,2792.29,1.17645,0.78885,1.15031,0.79311,0.71256,0.79189,0.51009,0.97999,0.66279,1.00762,0.0096634,0.0096634,0.0096634
19,2946.16,1.20092,0.80369,1.16203,0.79318,0.73458,0.79832,0.50419,1.00224,0.64288,1.02048,0.0096436,0.0096436,0.0096436
20,3100.27,1.1698,0.77371,1.15237,0.85385,0.68987,0.78786,0.50537,1.00183,0.63938,1.02723,0.0096238,0.0096238,0.0096238
21,3253.92,1.18267,0.7733,1.15588,0.8295,0.74549,0.78699,0.52132,0.93948,0.62917,1.00585,0.009604,0.009604,0.009604
22,3407.81,1.16129,0.75128,1.13887,0.85591,0.69836,0.81331,0.53228,0.94247,0.6233,1.00476,0.0095842,0.0095842,0.0095842
23,3561.86,1.17508,0.75859,1.13897,0.89109,0.79584,0.85555,0.54273,0.93761,0.62548,1.00629,0.0095644,0.0095644,0.0095644
24,3716,1.1823,0.75305,1.14514,0.81087,0.78273,0.80827,0.52651,0.92923,0.611,0.98972,0.0095446,0.0095446,0.0095446
25,3870.16,1.15817,0.73391,1.13174,0.77504,0.77396,0.80661,0.51247,0.95669,0.59183,1.02618,0.0095248,0.0095248,0.0095248
26,4024.43,1.148,0.72076,1.12014,0.82467,0.72815,0.80263,0.54478,0.94127,0.59721,1.00494,0.009505,0.009505,0.009505
27,4178.64,1.1729,0.73697,1.14141,0.81576,0.74311,0.79885,0.53685,0.91607,0.58478,0.98486,0.0094852,0.0094852,0.0094852
28,4333.05,1.16129,0.72836,1.1302,0.84557,0.81198,0.84026,0.5594,0.92384,0.58351,1.00065,0.0094654,0.0094654,0.0094654
29,4487.29,1.14881,0.73094,1.12426,0.86105,0.74159,0.8212,0.55294,0.92482,0.55842,0.98823,0.0094456,0.0094456,0.0094456
