                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.22,                 1.5405,                 1.1995,                 0.8148,                0.61089,                0.68834,                0.43777,                0.97795,                0.70466,                 1.0024,              0.0033261,              0.0033261,              0.0033261
                      2,                 1.2214,                0.91015,                 1.1575,                0.66446,                 0.7447,                0.68288,                0.40516,                 1.1347,                0.80366,                  1.059,              0.0066463,              0.0066463,              0.0066463
                      3,                 1.3038,                 1.0346,                 1.2045,                0.66798,                0.52939,                0.56076,                0.31563,                 1.2115,                 1.1893,                 1.1676,              0.0099532,              0.0099532,              0.0099532
                      4,                 1.3696,                 1.1491,                 1.2563,                0.72301,                0.59269,                0.64487,                0.38812,                 1.1341,                 1.0865,                 1.1107,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.3289,                 1.0789,                 1.2557,                0.77259,                0.53864,                0.60024,                0.37106,                 1.1756,                0.97441,                 1.1218,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.3171,                 1.0264,                 1.2438,                0.79656,                0.64771,                0.68704,                 0.4078,                 1.1296,                0.84244,                 1.0962,               0.009901,               0.009901,               0.009901
                      7,                 1.2835,                0.95399,                 1.2272,                0.63755,                0.62683,                0.62194,                0.37783,                 1.0979,                 0.8197,                 1.0993,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.2776,                0.95219,                 1.2249,                0.78769,                0.67157,                0.70628,                0.44611,                 1.0681,                0.75835,                 1.0545,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.2571,                0.91283,                 1.1966,                0.69568,                0.71155,                0.70698,                0.44441,                 1.0596,                0.74836,                 1.0621,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.2519,                0.88307,                 1.2082,                0.75067,                0.66353,                0.72352,                0.44841,                 1.0345,                0.78791,                 1.0608,              0.0098218,              0.0098218,              0.0098218
                     11,                  1.233,                0.85319,                 1.1883,                0.76473,                 0.7215,                0.75467,                0.47259,                0.99754,                 0.7098,                 1.0344,               0.009802,               0.009802,               0.009802
                     12,                  1.215,                 0.8357,                 1.1821,                0.72898,                0.68052,                0.71263,                0.42464,                 1.0066,                 0.6915,                 1.0291,              0.0097822,              0.0097822,              0.0097822
                     13,                  1.208,                0.80987,                 1.1801,                0.78785,                0.71016,                0.75527,                0.46793,                 1.0664,                 0.6831,                 1.0559,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.2089,                0.79799,                 1.1742,                0.82627,                0.68555,                0.75887,                0.51039,                0.97599,                0.66704,                 1.0329,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.1869,                 0.7708,                 1.1658,                0.78031,                0.76115,                0.78782,                0.51357,                 1.0168,                0.63678,                 1.0327,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.1977,                0.78175,                 1.1789,                0.72752,                0.78524,                0.74247,                0.49982,                  0.968,                0.63271,                 1.0166,               0.009703,               0.009703,               0.009703
                     17,                 1.1504,                0.74652,                 1.1515,                0.85151,                0.69458,                0.78149,                0.49389,                 1.0105,                0.65945,                  1.021,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.1655,                0.74906,                 1.1495,                0.81453,                0.75553,                0.79558,                0.52083,                0.95329,                0.61331,                 1.0168,              0.0096634,              0.0096634,              0.0096634
                     19,                  1.163,                 0.7337,                 1.1506,                0.83665,                0.77215,                 0.8103,                 0.5308,                0.98048,                0.60944,                 1.0204,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.1567,                0.71553,                 1.1436,                0.79088,                0.75281,                0.80197,                 0.4974,                0.97205,                0.60097,                 1.0212,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.1534,                0.72758,                 1.1434,                0.83731,                0.72083,                0.82735,                0.54146,                0.95359,                0.62136,                  1.013,               0.009604,               0.009604,               0.009604
                     22,                 1.1367,                0.71646,                 1.1382,                0.79196,                0.72573,                0.79072,                0.53758,                0.90756,                0.59203,                0.99386,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.1358,                0.68931,                 1.1303,                0.84497,                 0.7805,                0.82738,                0.54131,                 0.9508,                 0.5974,                 1.0103,              0.0095644,              0.0095644,              0.0095644
                     24,                  1.148,                0.70091,                 1.1324,                0.88972,                0.71992,                0.81259,                0.53214,                 0.9244,                0.58519,                  1.001,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.1122,                0.67589,                 1.1229,                0.81042,                0.72138,                 0.8043,                0.52682,                0.90247,                0.57079,                0.99814,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.1153,                0.66666,                 1.1118,                0.90894,                0.69252,                0.81165,                0.53283,                0.92744,                 0.5685,                0.99168,               0.009505,               0.009505,               0.009505
                     27,                 1.1159,                0.67097,                 1.1077,                0.89281,                0.74749,                0.82888,                0.54455,                0.92611,                0.59151,                0.99439,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.1157,                0.67303,                 1.1237,                0.83611,                0.71366,                0.79528,                0.52732,                0.90227,                0.54992,                0.99146,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.1014,                0.66246,                 1.1056,                0.90009,                0.73598,                0.82636,                0.53192,                0.92344,                0.55353,                 1.0024,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.1084,                0.66132,                 1.1136,                0.83724,                0.76683,                0.81962,                0.53429,                0.92169,                0.56054,                0.99044,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.0966,                0.65344,                 1.1106,                0.84133,                0.75473,                0.82078,                0.52304,                0.93085,                0.55395,                0.98883,               0.009406,               0.009406,               0.009406
                     32,                  1.083,                0.64209,                 1.1056,                0.88052,                0.73413,                0.81847,                0.54018,                 0.9155,                0.54587,                0.98213,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.0938,                0.63828,                 1.1097,                0.81573,                0.77554,                0.83382,                0.55627,                0.93492,                0.55772,                0.99664,              0.0093664,              0.0093664,              0.0093664
                     34,                  1.086,                0.63262,                  1.098,                0.86433,                0.74886,                0.82044,                0.56676,                0.89401,                 0.5292,                0.98581,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.0638,                0.62463,                 1.1015,                0.86374,                0.75273,                0.83373,                0.54147,                0.92643,                0.53456,                0.98963,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.0922,                0.63311,                 1.0972,                0.89946,                0.75858,                0.84235,                0.56852,                0.92678,                0.51517,                0.98891,               0.009307,               0.009307,               0.009307
                     37,                 1.0683,                0.60724,                  1.084,                0.81844,                0.78436,                0.83061,                0.54929,                0.89889,                0.51598,                0.98157,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.0767,                0.60368,                 1.0934,                0.79472,                0.78422,                0.83504,                0.56178,                0.88859,                0.50328,                0.97958,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.0853,                0.61465,                 1.0971,                0.76909,                0.82238,                0.83208,                0.55034,                0.89054,                0.52026,                0.97509,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.0538,                0.61383,                 1.0904,                0.83799,                0.82171,                0.84348,                 0.5509,                0.88895,                0.52057,                0.97616,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.0467,                0.59952,                 1.0812,                0.83143,                0.81719,                0.85663,                0.57302,                0.89232,                0.51022,                 0.9727,               0.009208,               0.009208,               0.009208
                     42,                 1.0499,                0.61181,                 1.0937,                0.86393,                0.79362,                0.84841,                0.57202,                0.86707,                0.49602,                0.97662,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.0581,                0.60685,                 1.0833,                 0.8444,                0.81543,                0.86598,                 0.5689,                0.87926,                 0.4966,                0.96562,              0.0091684,              0.0091684,              0.0091684
                     44,                  1.029,                0.58468,                 1.0769,                0.90183,                0.79513,                0.87657,                0.58402,                0.87095,                0.49262,                0.97054,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.0292,                0.57952,                 1.0754,                0.85443,                0.78571,                0.84716,                0.56862,                0.89297,                0.50649,                0.98156,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.0381,                 0.5777,                 1.0745,                 0.8719,                0.81095,                 0.8642,                0.56563,                0.90992,                 0.4887,                0.98196,               0.009109,               0.009109,               0.009109
                     47,                 1.0394,                 0.5892,                 1.0755,                0.87133,                0.79266,                0.84149,                0.55397,                0.90097,                0.48854,                0.98051,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.0295,                0.57196,                 1.0749,                0.88289,                0.79308,                0.84969,                0.56509,                0.87221,                0.49821,                 0.9728,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.0334,                0.58562,                 1.0773,                0.83435,                0.86077,                0.88337,                0.59197,                0.88852,                0.48339,                0.97324,              0.0090496,              0.0090496,              0.0090496
                     50,                  1.024,                0.57174,                 1.0734,                0.89884,                0.81509,                0.87437,                0.58768,                0.86201,                0.46932,                 0.9665,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.0207,                0.57804,                 1.0731,                0.83566,                0.82856,                0.85505,                0.56774,                0.88947,                0.48632,                0.98066,                0.00901,                0.00901,                0.00901
                     52,                 1.0005,                0.54922,                 1.0603,                0.88444,                0.83326,                0.87609,                0.59222,                0.89525,                0.48017,                0.96247,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.0167,                0.56587,                 1.0658,                0.82948,                0.84494,                0.86043,                0.56937,                0.90019,                0.47537,                0.97392,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.0053,                0.55656,                  1.064,                0.86779,                0.78331,                0.85532,                0.57833,                0.90153,                0.47734,                 0.9786,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.0087,                0.56145,                 1.0663,                0.90304,                0.81342,                0.85341,                0.57001,                0.87942,                0.46349,                0.97228,              0.0089308,              0.0089308,              0.0089308
                     56,                0.98965,                 0.5617,                 1.0577,                0.92103,                0.78817,                0.86345,                0.56833,                 0.8982,                0.45518,                 0.9837,               0.008911,               0.008911,               0.008911
                     57,                 1.0037,                0.55779,                 1.0613,                0.84134,                 0.8546,                0.86864,                0.57477,                0.89551,                0.46692,                0.98119,              0.0088912,              0.0088912,              0.0088912
                     58,                0.99287,                0.54263,                 1.0597,                0.90215,                0.80456,                0.87865,                0.59344,                0.88028,                0.45707,                0.96961,              0.0088714,              0.0088714,              0.0088714
                     59,                0.98683,                0.55107,                 1.0562,                0.81283,                0.87167,                0.88449,                0.59226,                 0.8716,                0.45049,                0.97102,              0.0088516,              0.0088516,              0.0088516
                     60,                0.99693,                0.54617,                 1.0502,                0.80876,                0.85841,                0.86873,                0.58521,                0.89285,                0.45578,                 0.9709,              0.0088318,              0.0088318,              0.0088318
                     61,                0.97084,                0.53041,                 1.0457,                0.82033,                0.85757,                0.87318,                0.58806,                0.88449,                0.44284,                0.96857,               0.008812,               0.008812,               0.008812
                     62,                0.98155,                0.53988,                 1.0473,                0.89772,                0.79467,                0.87873,                0.57568,                0.88082,                0.45066,                 0.9676,              0.0087922,              0.0087922,              0.0087922
                     63,                0.95997,                0.52186,                 1.0451,                0.86372,                0.80614,                0.87303,                0.59151,                0.88857,                0.44912,                0.97535,              0.0087724,              0.0087724,              0.0087724
                     64,                0.97293,                0.53432,                 1.0499,                  0.881,                0.82765,                0.88282,                0.60154,                0.86199,                0.44817,                0.96527,              0.0087526,              0.0087526,              0.0087526
                     65,                0.96844,                0.52368,                 1.0395,                0.86816,                0.83792,                  0.891,                0.59307,                0.87443,                 0.4345,                0.96389,              0.0087328,              0.0087328,              0.0087328
                     66,                0.97646,                0.53674,                 1.0411,                0.85367,                 0.8605,                0.88217,                0.58467,                0.88369,                0.44448,                0.96582,               0.008713,               0.008713,               0.008713
                     67,                0.96339,                0.52286,                 1.0396,                 0.9093,                0.82414,                0.88539,                 0.5955,                0.87094,                0.43397,                0.96387,              0.0086932,              0.0086932,              0.0086932
                     68,                0.95602,                0.52479,                 1.0335,                0.92298,                0.80556,                0.88598,                0.59694,                0.87824,                0.43527,                0.96977,              0.0086734,              0.0086734,              0.0086734
                     69,                0.95835,                0.53495,                 1.0301,                0.93134,                 0.7953,                0.88758,                0.59455,                0.89526,                0.43952,                0.97043,              0.0086536,              0.0086536,              0.0086536
                     70,                0.95211,                0.51652,                 1.0354,                0.90331,                0.82012,                0.88428,                0.58683,                0.86917,                 0.4249,                   0.96,              0.0086338,              0.0086338,              0.0086338
                     71,                0.93956,                0.50826,                 1.0316,                0.91709,                0.82898,                0.89062,                0.58157,                0.88131,                 0.4295,                0.96988,               0.008614,               0.008614,               0.008614
                     72,                0.95129,                0.52064,                 1.0357,                0.90502,                 0.8001,                0.87929,                0.57772,                0.87876,                0.44023,                 0.9657,              0.0085942,              0.0085942,              0.0085942
                     73,                0.94468,                0.51655,                 1.0328,                0.90519,                0.81158,                0.88425,                0.58169,                0.88333,                0.43694,                 0.9688,              0.0085744,              0.0085744,              0.0085744
                     74,                0.94459,                0.51869,                 1.0331,                0.83134,                0.85971,                0.89202,                0.58273,                 0.8802,                0.43709,                 0.9681,              0.0085546,              0.0085546,              0.0085546
                     75,                0.91992,                0.49914,                 1.0236,                0.88414,                0.83614,                0.89738,                0.59047,                0.88661,                0.44521,                0.97186,              0.0085348,              0.0085348,              0.0085348
                     76,                0.92895,                0.50162,                 1.0192,                 0.8397,                0.85935,                0.87699,                0.58083,                0.88278,                0.44248,                0.97008,               0.008515,               0.008515,               0.008515
                     77,                0.93665,                0.51032,                 1.0239,                0.95545,                0.78851,                0.89908,                0.59837,                0.87868,                0.43561,                0.96872,              0.0084952,              0.0084952,              0.0084952
                     78,                0.91019,                0.48653,                 1.0206,                 0.8598,                0.86036,                0.89584,                0.60009,                0.88209,                0.42203,                0.96543,              0.0084754,              0.0084754,              0.0084754
                     79,                0.91281,                0.48839,                 1.0168,                0.86011,                0.81791,                0.88688,                0.59163,                0.88057,                0.43199,                0.96876,              0.0084556,              0.0084556,              0.0084556
                     80,                0.90951,                0.49579,                 1.0221,                0.91316,                0.78674,                0.87556,                0.59133,                0.88529,                0.43068,                0.96809,              0.0084358,              0.0084358,              0.0084358
                     81,                0.90256,                0.49113,                 1.0157,                0.85552,                0.82378,                0.87467,                0.58922,                0.87808,                0.42263,                0.96305,               0.008416,               0.008416,               0.008416
                     82,                0.90557,                0.49004,                 1.0113,                0.91943,                0.78276,                0.87052,                0.58395,                0.87268,                0.42008,                0.96092,              0.0083962,              0.0083962,              0.0083962
                     83,                0.89247,                0.49317,                 1.0103,                0.89317,                0.81956,                0.87869,                0.58524,                0.87467,                  0.422,                0.96149,              0.0083764,              0.0083764,              0.0083764
                     84,                0.89493,                0.48575,                 1.0086,                0.84492,                0.85517,                 0.8784,                 0.5849,                0.86954,                0.42567,                0.95953,              0.0083566,              0.0083566,              0.0083566
                     85,                0.90271,                0.48725,                 1.0082,                0.92985,                0.80598,                 0.8829,                0.59535,                 0.8667,                0.42481,                 0.9604,              0.0083368,              0.0083368,              0.0083368
                     86,                0.89741,                0.48852,                 1.0108,                0.89293,                0.82652,                0.89034,                0.59191,                0.87062,                0.41971,                0.96248,               0.008317,               0.008317,               0.008317
                     87,                0.88391,                0.48374,                 1.0052,                0.89132,                0.82717,                0.89126,                0.59201,                0.87937,                0.42184,                0.96266,              0.0082972,              0.0082972,              0.0082972
                     88,                0.88988,                0.48692,                 1.0094,                0.91413,                0.81311,                0.88906,                0.58952,                0.87944,                0.42544,                0.96399,              0.0082774,              0.0082774,              0.0082774
                     89,                0.87777,                0.48106,                 1.0083,                 0.8912,                0.82286,                0.88625,                 0.5825,                0.88488,                0.42233,                0.97028,              0.0082576,              0.0082576,              0.0082576
                     90,                0.87389,                0.47015,                 1.0009,                0.91526,                0.81649,                0.88467,                0.58321,                0.88602,                0.41805,                0.97218,              0.0082378,              0.0082378,              0.0082378
                     91,                 0.8854,                0.47614,                  1.003,                0.91378,                0.82021,                 0.8917,                 0.5842,                0.88682,                0.41762,                0.96717,               0.008218,               0.008218,               0.008218
                     92,                0.87875,                0.47345,                 1.0033,                0.91323,                0.82104,                0.89429,                0.59165,                 0.8853,                0.41816,                0.96701,              0.0081982,              0.0081982,              0.0081982
                     93,                0.88444,                0.47779,                 1.0094,                 0.9394,                0.81443,                0.88927,                0.58829,                0.87982,                0.42205,                0.96742,              0.0081784,              0.0081784,              0.0081784
                     94,                0.85747,                0.45714,                0.98932,                0.93073,                 0.8183,                0.88989,                0.58453,                0.87463,                 0.4232,                0.96446,              0.0081586,              0.0081586,              0.0081586
                     95,                0.85922,                0.46773,                 0.9937,                0.92887,                  0.819,                0.89177,                 0.5809,                0.88043,                 0.4181,                0.96485,              0.0081388,              0.0081388,              0.0081388
                     96,                0.85682,                0.46348,                0.99703,                0.92649,                0.81483,                 0.8934,                0.58249,                0.87666,                0.41528,                0.96462,               0.008119,               0.008119,               0.008119
                     97,                0.87271,                0.46375,                0.99586,                0.91439,                0.81873,                0.89748,                 0.5817,                 0.8871,                0.41628,                0.96779,              0.0080992,              0.0080992,              0.0080992
                     98,                0.87484,                0.46377,                 1.0003,                0.92402,                0.81079,                 0.8935,                0.58077,                 0.8833,                 0.4138,                 0.9656,              0.0080794,              0.0080794,              0.0080794
                     99,                0.86825,                0.46364,                0.99318,                0.90947,                0.83881,                0.89897,                0.58285,                 0.8798,                0.41276,                0.96472,              0.0080596,              0.0080596,              0.0080596
                    100,                0.86216,                0.47494,                 0.9883,                0.90659,                0.85033,                0.90282,                0.59304,                0.87896,                0.41013,                0.96531,              0.0080398,              0.0080398,              0.0080398
                    101,                 0.8447,                 0.4634,                0.99171,                0.91156,                 0.8366,                0.91099,                0.59633,                0.87727,                0.40745,                0.96451,                0.00802,                0.00802,                0.00802
                    102,                0.85876,                0.46328,                0.99252,                0.95497,                0.81717,                0.91007,                0.59435,                0.88102,                0.40565,                 0.9672,              0.0080002,              0.0080002,              0.0080002
                    103,                 0.8531,                0.45869,                0.99323,                0.94666,                0.81738,                0.91062,                0.59752,                0.88522,                0.40265,                0.96906,              0.0079804,              0.0079804,              0.0079804
                    104,                0.83559,                0.45365,                0.99086,                0.90943,                0.84664,                0.91037,                0.59661,                0.88339,                0.40539,                0.96824,              0.0079606,              0.0079606,              0.0079606
