                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2394,                 3.5969,                 1.2112,                0.43455,                0.42906,                0.36423,                0.25522,                 1.0526,                 2.0801,                 1.1481,              0.0033278,              0.0033278,              0.0033278
                      2,                 1.1544,                 1.9212,                 1.1795,                 0.8398,                0.84248,                0.90749,                0.68609,                0.91297,                0.91141,                 1.1541,              0.0065952,              0.0065952,              0.0065952
                      3,                 1.1325,                 1.3708,                 1.1776,                0.93887,                0.91015,                0.95042,                0.72847,                0.88471,                0.71322,                 1.1343,              0.0097966,              0.0097966,              0.0097966
                      4,                 1.1083,                 1.1805,                 1.1725,                0.95567,                0.92624,                0.95918,                0.75127,                0.82766,                0.61204,                 1.1059,               0.009703,               0.009703,               0.009703
                      5,                 1.0573,                 1.0572,                 1.1553,                0.96022,                0.91517,                0.96306,                0.68828,                 1.0342,                0.63479,                 1.1951,               0.009604,               0.009604,               0.009604
                      6,                 1.0282,                0.95119,                 1.1456,                 0.9824,                0.94086,                0.96795,                0.75626,                 0.8715,                0.53785,                 1.1366,               0.009505,               0.009505,               0.009505
                      7,                 1.0076,                0.88897,                 1.1444,                0.98574,                0.94426,                0.97089,                0.76097,                0.83163,                0.48092,                 1.1058,               0.009406,               0.009406,               0.009406
                      8,                0.98101,                0.82657,                 1.1373,                0.98193,                0.93913,                 0.9709,                0.69777,                 1.0191,                0.53302,                 1.1976,               0.009307,               0.009307,               0.009307
                      9,                0.97914,                0.80148,                  1.139,                0.98197,                0.94634,                0.97103,                0.73339,                0.92351,                0.47979,                 1.1614,               0.009208,               0.009208,               0.009208
                     10,                 0.9569,                0.76479,                 1.1299,                0.98805,                0.94863,                0.97367,                0.78884,                0.76247,                0.41776,                 1.0837,               0.009109,               0.009109,               0.009109
                     11,                  0.949,                0.74826,                 1.1257,                 0.9877,                0.95071,                0.97538,                0.77639,                0.80136,                0.42165,                 1.0988,                0.00901,                0.00901,                0.00901
                     12,                0.93942,                 0.7215,                 1.1253,                0.98856,                0.95053,                0.97594,                0.78911,                0.77369,                0.40273,                 1.1128,               0.008911,               0.008911,               0.008911
                     13,                0.92455,                 0.7119,                 1.1127,                0.97937,                0.94239,                0.97327,                0.76931,                0.82112,                0.43757,                 1.1102,               0.008812,               0.008812,               0.008812
                     14,                0.91328,                0.68729,                 1.1131,                0.98684,                0.95428,                0.97661,                 0.8007,                 0.7313,                0.38116,                 1.0713,               0.008713,               0.008713,               0.008713
                     15,                0.90785,                0.67612,                  1.113,                0.99077,                0.95344,                0.97677,                0.81784,                0.67874,                0.36691,                 1.0492,               0.008614,               0.008614,               0.008614
                     16,                0.89753,                0.66411,                 1.1061,                0.99077,                0.95547,                0.97713,                0.81326,                0.69711,                0.36229,                 1.0575,               0.008515,               0.008515,               0.008515
                     17,                0.88476,                0.64892,                 1.0964,                0.99224,                0.95342,                0.97862,                0.82302,                0.67123,                 0.3562,                  1.039,               0.008416,               0.008416,               0.008416
                     18,                0.87686,                 0.6468,                 1.0919,                0.99106,                0.95358,                0.97895,                0.82631,                0.66801,                0.34941,                 1.0353,               0.008317,               0.008317,               0.008317
                     19,                0.87262,                0.62843,                 1.0934,                 0.9901,                0.95611,                0.97818,                0.81167,                0.71665,                0.35727,                 1.0537,               0.008218,               0.008218,               0.008218
